9002 9002 18000
1 0.0 0.0 -0.1081
2 -0.00023858 -2.142286e-14 -0.1081
3 -0.00047717 -4.284661e-14 -0.1081
4 -0.00071575 -6.426947e-14 -0.1081
5 -0.00095434 -8.569323e-14 -0.1081
6 -0.00119292 -1.071161e-13 -0.1081
7 -0.0014315 -1.285389e-13 -0.1081
8 -0.00167009 -1.499627e-13 -0.1081
9 -0.00190867 -1.713856e-13 -0.1081
10 -0.00214726 -1.928093e-13 -0.1081
11 -0.00238584 -2.142322e-13 -0.1081
12 -0.00262442 -2.35655e-13 -0.1081
13 -0.00286301 -2.570788e-13 -0.1081
14 -0.00310159 -2.785016e-13 -0.1081
15 -0.00334018 -2.999254e-13 -0.1081
16 -0.00357876 -3.213483e-13 -0.1081
17 -0.00380288 -3.414727e-13 -0.1081
18 -0.00402083 -3.610431e-13 -0.1081
19 -0.00423879 -3.806145e-13 -0.1081
20 -0.00445675 -4.001858e-13 -0.1081
21 -0.00467471 -4.197571e-13 -0.1081
22 -0.00489266 -4.393275e-13 -0.1081
23 -0.00511062 -4.588988e-13 -0.1081
24 -0.00532858 -4.784702e-13 -0.1081
25 -0.00554654 -4.980415e-13 -0.1081
26 -0.00576449 -5.176119e-13 -0.1081
27 -0.00598245 -5.371832e-13 -0.1081
28 -0.00620041 -5.567546e-13 -0.1081
29 -0.00641837 -5.763259e-13 -0.1081
30 -0.00663632 -5.958963e-13 -0.1081
31 -0.00685428 -6.154676e-13 -0.1081
32 -0.00707224 -6.35039e-13 -0.1081
33 -0.00729019 -6.546094e-13 -0.1081
34 -0.00750815 -6.741807e-13 -0.1081
35 -0.00772611 -6.93752e-13 -0.1081
36 -0.00794407 -7.133233e-13 -0.1081
37 -0.00816202 -7.328938e-13 -0.1081
38 -0.00837998 -7.524651e-13 -0.1081
39 -0.00859794 -7.720364e-13 -0.1081
40 -0.0088159 -7.916077e-13 -0.1081
41 -0.00903385 -8.111782e-13 -0.1081
42 -0.00925181 -8.307495e-13 -0.1081
43 -0.00946977 -8.503208e-13 -0.1081
44 -0.00968773 -8.698921e-13 -0.1081
45 -0.00990568 -8.894626e-13 -0.1081
46 -0.01012364 -9.090339e-13 -0.1081
47 -0.0103416 -9.286052e-13 -0.1081
48 -0.01055956 -9.481765e-13 -0.1081
49 -0.01077751 -9.677469e-13 -0.1081
50 -0.054 -4.848832e-12 -0.1081
51 -0.054 -4.848832e-12 0.0
52 -0.0002384347 -8.326322e-6 -0.1081
53 -0.0004768793 -1.665299e-5 -0.1081
54 -0.000715314 -2.497931e-5 -0.1081
55 -0.0009537586 -3.330599e-5 -0.1081
56 -0.001192193 -4.163231e-5 -0.1081
57 -0.001430628 -4.995863e-5 -0.1081
58 -0.001669073 -5.82853e-5 -0.1081
59 -0.001907507 -6.661162e-5 -0.1081
60 -0.002145952 -7.493829e-5 -0.1081
61 -0.002384387 -8.326462e-5 -0.1081
62 -0.002622821 -9.159094e-5 -0.1081
63 -0.002861266 -9.991761e-5 -0.1081
64 -0.003099701 -0.0001082439 -0.1081
65 -0.003338145 -0.0001165706 -0.1081
66 -0.00357658 -0.0001248969 -0.1081
67 -0.003800563 -0.0001327186 -0.1081
68 -0.004018381 -0.0001403249 -0.1081
69 -0.004236208 -0.0001479316 -0.1081
70 -0.004454035 -0.0001555383 -0.1081
71 -0.004671862 -0.000163145 -0.1081
72 -0.00488968 -0.0001707514 -0.1081
73 -0.005107507 -0.0001783581 -0.1081
74 -0.005325334 -0.0001859648 -0.1081
75 -0.005543161 -0.0001935715 -0.1081
76 -0.005760978 -0.0002011778 -0.1081
77 -0.005978806 -0.0002087845 -0.1081
78 -0.006196633 -0.0002163912 -0.1081
79 -0.00641446 -0.0002239979 -0.1081
80 -0.006632277 -0.0002316042 -0.1081
81 -0.006850105 -0.0002392109 -0.1081
82 -0.007067932 -0.0002468176 -0.1081
83 -0.007285749 -0.000254424 -0.1081
84 -0.007503576 -0.0002620307 -0.1081
85 -0.007721403 -0.0002696374 -0.1081
86 -0.007939231 -0.000277244 -0.1081
87 -0.008157048 -0.0002848504 -0.1081
88 -0.008374875 -0.0002924571 -0.1081
89 -0.008592702 -0.0003000638 -0.1081
90 -0.00881053 -0.0003076705 -0.1081
91 -0.009028347 -0.0003152768 -0.1081
92 -0.009246174 -0.0003228835 -0.1081
93 -0.009464001 -0.0003304902 -0.1081
94 -0.009681828 -0.0003380969 -0.1081
95 -0.009899646 -0.0003457032 -0.1081
96 -0.01011747 -0.0003533099 -0.1081
97 -0.0103353 -0.0003609166 -0.1081
98 -0.01055313 -0.0003685233 -0.1081
99 -0.01077094 -0.0003761297 -0.1081
100 -0.0539671 -0.001884573 -0.1081
101 -0.0539671 -0.001884573 0.0
102 -0.0002379988 -1.66425e-5 -0.1081
103 -0.0004760076 -3.32857e-5 -0.1081
104 -0.0007140065 -4.99282e-5 -0.1081
105 -0.0009520153 -6.657139e-5 -0.1081
106 -0.001190014 -8.321389e-5 -0.1081
107 -0.001428013 -9.985639e-5 -0.1081
108 -0.001666022 -0.0001164996 -0.1081
109 -0.001904021 -0.0001331421 -0.1081
110 -0.002142029 -0.0001497853 -0.1081
111 -0.002380028 -0.0001664278 -0.1081
112 -0.002618027 -0.0001830703 -0.1081
113 -0.002856036 -0.0001997135 -0.1081
114 -0.003094035 -0.000216356 -0.1081
115 -0.003332043 -0.0002329992 -0.1081
116 -0.003570042 -0.0002496417 -0.1081
117 -0.003793616 -0.0002652755 -0.1081
118 -0.004011035 -0.0002804789 -0.1081
119 -0.004228465 -0.000295683 -0.1081
120 -0.004445894 -0.0003108872 -0.1081
121 -0.004663323 -0.0003260913 -0.1081
122 -0.004880742 -0.0003412947 -0.1081
123 -0.005098171 -0.0003564988 -0.1081
124 -0.0053156 -0.000371703 -0.1081
125 -0.005533029 -0.0003869071 -0.1081
126 -0.005750448 -0.0004021105 -0.1081
127 -0.005967877 -0.0004173146 -0.1081
128 -0.006185306 -0.0004325187 -0.1081
129 -0.006402735 -0.0004477229 -0.1081
130 -0.006620154 -0.0004629263 -0.1081
131 -0.006837583 -0.0004781304 -0.1081
132 -0.007055012 -0.0004933345 -0.1081
133 -0.007272431 -0.0005085379 -0.1081
134 -0.007489861 -0.0005237421 -0.1081
135 -0.00770729 -0.0005389462 -0.1081
136 -0.007924719 -0.0005541503 -0.1081
137 -0.008142138 -0.0005693537 -0.1081
138 -0.008359567 -0.0005845579 -0.1081
139 -0.008576996 -0.000599762 -0.1081
140 -0.008794425 -0.0006149661 -0.1081
141 -0.009011844 -0.0006301695 -0.1081
142 -0.009229273 -0.0006453736 -0.1081
143 -0.009446702 -0.0006605778 -0.1081
144 -0.009664131 -0.0006757819 -0.1081
145 -0.00988155 -0.0006909853 -0.1081
146 -0.01009898 -0.0007061894 -0.1081
147 -0.01031641 -0.0007213935 -0.1081
148 -0.01053384 -0.0007365977 -0.1081
149 -0.01075126 -0.0007518011 -0.1081
150 -0.05386846 -0.00376685 -0.1081
151 -0.05386846 -0.00376685 0.0
